schid,nttkreadsch,nttkreaddist,nttkreadstate,nttkmathschool,nttkmathdist,nttkmathstate,nttkscischool,nttkscidist,nttkscistate
050160380022001,0.3,0.3,0.6,0.3,0.3,0.5,0.8,0.8,0.7
050160390021008,0.1,0.0,0.6,0.1,0.0,0.5,0.5,0.4,0.7
050160390022002,0.0,0.0,0.6,0.0,0.0,0.5,0.0,0.4,0.7
050160390022003,0.0,0.0,0.6,0.0,0.0,0.5,1.1,0.4,0.7
050160390022005,0.0,0.0,0.6,0.0,0.0,0.5,0.0,0.4,0.7
050160390022006,0.0,0.0,0.6,0.0,0.0,0.5,0.0,0.4,0.7
050160390022007,0.0,0.0,0.6,0.0,0.0,0.5,,,
050160540041001,0.0,0.1,0.6,0.0,0.1,0.5,0.0,0.2,0.7
050160540041012,0.0,0.1,0.6,0.0,0.1,0.5,0.0,0.2,0.7
050160540041018,0.0,0.1,0.6,0.2,0.1,0.5,0.3,0.2,0.7
050160540041019,0.0,0.1,0.6,0.0,0.1,0.5,0.0,0.2,0.7
050160540041020,0.0,0.1,0.6,0.0,0.1,0.5,0.0,0.2,0.7
050160540042002,0.0,0.1,0.6,0.0,0.1,0.5,0.0,0.2,0.7
050160540042003,0.0,0.1,0.6,0.0,0.1,0.5,0.0,0.2,0.7
050160540042005,0.0,0.1,0.6,0.0,0.1,0.5,0.0,0.2,0.7
050160540042006,0.0,0.1,0.6,0.0,0.1,0.5,0.0,0.2,0.7
050160540042007,0.0,0.1,0.6,0.0,0.1,0.5,0.0,0.2,0.7
050160540042008,0.0,0.1,0.6,0.0,0.1,0.5,0.0,0.2,0.7
050160540042009,0.0,0.1,0.6,0.0,0.1,0.5,0.0,0.2,0.7
050160540042010,0.3,0.1,0.6,0.3,0.1,0.5,0.0,0.2,0.7
050160540042011,0.0,0.1,0.6,0.0,0.1,0.5,0.0,0.2,0.7
050160540042013,0.0,0.1,0.6,0.0,0.1,0.5,0.0,0.2,0.7
050160540042015,0.0,0.1,0.6,0.0,0.1,0.5,0.0,0.2,0.7
050160540042018,0.0,0.1,0.6,0.0,0.1,0.5,0.9,0.2,0.7
050160540042019,0.4,0.1,0.6,0.4,0.1,0.5,1.8,0.2,0.7
050160540042022,0.4,0.1,0.6,0.4,0.1,0.5,1.4,0.2,0.7
050160540042023,0.0,0.1,0.6,0.0,0.1,0.5,0.0,0.2,0.7
050160540042026,0.0,0.1,0.6,0.0,0.1,0.5,0.0,0.2,0.7
050160540042027,0.0,0.1,0.6,0.0,0.1,0.5,0.0,0.2,0.7
050160540042028,0.9,0.1,0.6,1.3,0.1,0.5,0.0,0.2,0.7
050160540042029,0.0,0.1,0.6,0.0,0.1,0.5,0.0,0.2,0.7
050160540042030,0.0,0.1,0.6,0.0,0.1,0.5,1.2,0.2,0.7
050160540042031,0.0,0.1,0.6,0.0,0.1,0.5,0.0,0.2,0.7
050160540042032,0.0,0.1,0.6,0.0,0.1,0.5,0.0,0.2,0.7
050160570021004,0.0,0.1,0.6,0.0,0.1,0.5,0.0,0.0,0.7
050160570022002,0.3,0.1,0.6,0.3,0.1,0.5,0.0,0.0,0.7
050160570022005,0.0,0.1,0.6,0.0,0.1,0.5,0.0,0.0,0.7
050160570022008,,,,,,,,,
050160590041010,0.0,0.1,0.6,0.0,0.0,0.5,0.0,0.0,0.7
050160590041012,0.0,0.1,0.6,0.0,0.0,0.5,0.0,0.0,0.7
050160590041016,0.0,0.1,0.6,0.0,0.0,0.5,0.0,0.0,0.7
050160590042001,0.0,0.1,0.6,0.0,0.0,0.5,0.0,0.0,0.7
050160590042002,0.0,0.1,0.6,0.0,0.0,0.5,0.0,0.0,0.7
050160590042003,0.0,0.1,0.6,0.0,0.0,0.5,0.0,0.0,0.7
050160590042006,0.4,0.1,0.6,0.0,0.0,0.5,0.0,0.0,0.7
050160590042008,0.0,0.1,0.6,0.0,0.0,0.5,0.0,0.0,0.7
050160590042009,0.4,0.1,0.6,0.4,0.0,0.5,0.0,0.0,0.7
050160590042014,0.0,0.1,0.6,0.0,0.0,0.5,0.0,0.0,0.7
050160590042016,0.6,0.1,0.6,0.6,0.0,0.5,0.0,0.0,0.7
050160590042018,0.0,0.1,0.6,0.0,0.0,0.5,0.0,0.0,0.7
