schid,grades2015,percmin2015,enroll2015,enrolldist2015,lowinc2015,act2015school,actscore2015district,actscore2015state
050160150041016,7 8,74.5,779,"12,745",53.0,,,20.5
050160150041018,7 8,39.7,695,"12,745",22.6,,,20.5
050160150042001,K 1 2 3 4 5 6,77.9,743,"12,745",71.1,,,20.5
050160150042003,PK K 1 2 3 4 5 6,62.4,590,"12,745",47.1,,,20.5
050160150042004,K 1 2 3 4 5 6,33.2,434,"12,745",6.0,,,20.5
050160150042005,PK K 1 2 3 4 5 6,54.0,615,"12,745",55.9,,,20.5
050160150042006,PK K 1 2 3 4 5 6,47.7,637,"12,745",16.2,,,20.5
050160150042007,K 1 2 3 4 5 6,75.5,864,"12,745",67.9,,,20.5
050160150042008,K 1 2 3 4 5 6,55.4,913,"12,745",53.8,,,20.5
050160150042009,K 1 2 3 4 5 6,56.1,799,"12,745",43.3,,,20.5
050160150042010,PK K 1 2 3 4 5 6,51.0,649,"12,745",6.2,,,20.5
050160150042013,PK K 1 2 3 4 5 6,64.0,658,"12,745",53.6,,,20.5
050160150042015,K 1 2 3 4 5 6,77.4,901,"12,745",67.4,,,20.5
050160150042018,K 1 2 3 4 5 6,56.3,627,"12,745",34.4,,,20.5
050160150042019,K 1 2 3 4 5 6,52.8,470,"12,745",48.7,,,20.5
050160150042020,PK K 1 2 3 4 5 6,57.6,512,"12,745",39.6,,,20.5
050160150042023,PK K 1 2 3 4 5 6,58.1,535,"12,745",15.9,,,20.5
050160210041002,6 7 8,41.3,703,"6,899",39.1,,,20.5
050160210041006,6 7 8,83.4,765,"6,899",79.2,,,20.5
050160210041007,6 7 8,65.7,642,"6,899",60.7,,,20.5
050160210042003,PK K 1 2 3 4 5,86.9,672,"6,899",79.9,,,20.5
050160210042004,K 1 2 3 4 5,70.6,686,"6,899",71.1,,,20.5
050160210042007,K 1 2 3 4 5,70.4,548,"6,899",66.4,,,20.5
050160210042009,PK K 1 2 3 4 5,22.6,420,"6,899",18.3,,,20.5
050160210042010,PK K 1 2 3 4 5,39.1,432,"6,899",36.6,,,20.5
050160210042011,PK K 1 2 3 4 5,31.0,336,"6,899",26.5,,,20.5
050160210042013,PK K 1 2 3 4 5,65.7,510,"6,899",53.1,,,20.5
050160210042014,PK K 1 2 3 4 5,91.7,565,"6,899",84.8,,,20.5
050160210042015,PK K 1 2 3 4 5,89.7,620,"6,899",86.6,,,20.5
050160230021002,6 7 8,33.3,517,"1,571",31.5,,,20.5
