schid,nttkreadsch,nttkreaddist,nttkreadstate,nttkmathsch,nttkmathdist,nttkmathstate,tkreadsch,tkmathsch,tkreaddist,tkmathdist,tkreadstate,tkmathstate
240473080262015,0.0,1.5,4.4,0.4,1.7,4.4,100.0,99.6,98.5,98.3,95.6,95.6
240473080262016,0.6,1.5,4.4,0.6,1.7,4.4,99.4,99.4,98.5,98.3,95.6,95.6
260290010260001,18.5,3.8,4.4,8.3,1.8,4.4,81.5,91.7,96.2,98.2,95.6,95.6
260290010261001,2.2,3.8,4.4,2.2,1.8,4.4,97.8,97.8,96.2,98.2,95.6,95.6
260290010262001,0.0,3.8,4.4,0.0,1.8,4.4,100.0,100.0,96.2,98.2,95.6,95.6
260290020260001,0.0,1.1,4.4,0.0,1.2,4.4,100.0,100.0,98.9,98.8,95.6,95.6
260290020261001,0.0,1.1,4.4,0.0,1.2,4.4,100.0,100.0,98.9,98.8,95.6,95.6
260290020262006,1.9,1.1,4.4,1.9,1.2,4.4,98.1,98.1,98.9,98.8,95.6,95.6
260290030260001,2.9,0.4,4.4,0.0,0.0,4.4,97.1,100.0,99.6,100.0,95.6,95.6
260290030261001,0.0,0.4,4.4,0.0,0.0,4.4,100.0,100.0,99.6,100.0,95.6,95.6
260290030262003,0.0,0.4,4.4,0.0,0.0,4.4,100.0,100.0,99.6,100.0,95.6,95.6
260290040260001,3.0,0.6,4.4,4.0,0.6,4.4,97.0,96.0,99.4,99.4,95.6,95.6
260290040261001,0.0,0.6,4.4,0.0,0.6,4.4,100.0,100.0,99.4,99.4,95.6,95.6
260290040262005,0.0,0.6,4.4,0.0,0.6,4.4,100.0,100.0,99.4,99.4,95.6,95.6
260290660250001,3.1,5.0,4.4,11.5,2.1,4.4,96.9,88.5,95.0,97.9,95.6,95.6
260290660251002,5.9,5.0,4.4,1.3,2.1,4.4,94.1,98.7,95.0,97.9,95.6,95.6
260290660252003,2.5,5.0,4.4,1.6,2.1,4.4,97.5,98.4,95.0,97.9,95.6,95.6
260290660252008,9.6,5.0,4.4,0.0,2.1,4.4,90.4,100.0,95.0,97.9,95.6,95.6
260290660252009,1.8,5.0,4.4,0.6,2.1,4.4,98.2,99.4,95.0,97.9,95.6,95.6
260290970260001,0.0,0.9,4.4,0.0,0.9,4.4,100.0,100.0,99.1,99.1,95.6,95.6
260290970262002,0.5,0.9,4.4,0.5,0.9,4.4,99.5,99.5,99.1,99.1,95.6,95.6
260290970262003,2.3,0.9,4.4,2.3,0.9,4.4,97.7,97.7,99.1,99.1,95.6,95.6
260343070160001,1.1,1.1,4.4,0.0,0.0,4.4,98.9,100.0,98.9,100.0,95.6,95.6
260343160260001,1.9,1.6,4.4,2.4,1.7,4.4,98.1,97.6,98.4,98.3,95.6,95.6
260343160262003,1.5,1.6,4.4,1.5,1.7,4.4,98.5,98.5,98.4,98.3,95.6,95.6
260343170041006,1.2,1.2,4.4,1.8,1.2,4.4,98.8,98.2,98.8,98.8,95.6,95.6
260343170042005,1.2,1.2,4.4,0.0,1.2,4.4,98.8,100.0,98.8,98.8,95.6,95.6
